Date,Open,High,Low,Close,Adj Close,Volume
10-03-2016,566.74,567,547.9,558.93,558.93,3919900
11-03-2016,566.95,570.06,562.73,569.61,569.61,3771300
14-03-2016,567,576.89,563.05,573.37,573.37,3454200
15-03-2016,571,581.52,567,577.02,577.02,3876800
16-03-2016,576.64,581.32,571.14,574.27,574.27,3537700
17-03-2016,569.51,571.4,555.01,559.44,559.44,5928100
18-03-2016,560.94,562.33,546.09,552.08,552.08,7296900
21-03-2016,548.91,555.24,538.58,553.98,553.98,5155700
22-03-2016,545.11,562.76,545.05,560.48,560.48,4000600
23-03-2016,561,572.48,558.1,569.63,569.63,3983700
24-03-2016,567.11,583.55,567.08,582.95,582.95,5185500
28-03-2016,584.4,584.75,575.56,579.87,579.87,3121500
29-03-2016,580.15,595.85,576.5,593.86,593.86,4392600
30-03-2016,596.71,603.24,595,598.69,598.69,3890500
31-03-2016,599.28,600.75,592.21,593.64,593.64,2681800
01-04-2016,590.49,599.03,588.3,598.5,598.5,2917400
04-04-2016,599,599.5,590.55,593.19,593.19,2470800
05-04-2016,590.77,593.47,585.25,586.14,586.14,2308900
06-04-2016,587.52,602.39,587.5,602.08,602.08,2849900
07-04-2016,598.76,599.6,589.08,591.43,591.43,3189000
08-04-2016,594.32,597.86,589,594.6,594.6,2591900
11-04-2016,596.14,604,594.91,595.93,595.93,2704300
12-04-2016,598.4,604.06,592.31,603.17,603.17,2641100
13-04-2016,607.68,616.81,605.29,614.82,614.82,4228300
14-04-2016,615.07,624.38,615.07,620.75,620.75,3512100
15-04-2016,621.92,626.77,618.11,625.89,625.89,2887700
18-04-2016,625.35,637.64,624.96,635.35,635.35,4360900
19-04-2016,637.14,638.01,620.8,627.9,627.9,4055900
20-04-2016,630,636.55,623,632.99,632.99,2609400
21-04-2016,631,637.82,628.5,631,631,2596300
22-04-2016,624.47,628.25,611.56,620.5,620.5,5083900
25-04-2016,616.61,626.98,616.25,626.2,626.2,2682900
26-04-2016,626.17,626.75,614.88,616.88,616.88,2521400
27-04-2016,611.8,615.95,601.28,606.57,606.57,4068800
28-04-2016,615.54,626.8,599.2,602,602,7872600
29-04-2016,666,669.98,654,659.59,659.59,10310700
02-05-2016,663.92,685.5,662.03,683.85,683.85,6578500
03-05-2016,677.36,680.3,670.43,671.32,671.32,4923400
04-05-2016,662.59,674,662.14,670.9,670.9,4635500
05-05-2016,673.31,676.49,656,659.09,659.09,4884100
06-05-2016,656.05,676.95,656.01,673.95,673.95,4365300
09-05-2016,673.95,686.98,671.41,679.75,679.75,3982200
10-05-2016,694,704.55,693.5,703.07,703.07,6105600
11-05-2016,705.79,719,701.65,713.23,713.23,7338200
12-05-2016,717.38,722.45,711.51,717.93,717.93,5048200
13-05-2016,714.64,719.25,706.51,709.92,709.92,4763400
16-05-2016,710.13,713.25,700.28,710.66,710.66,5432900
17-05-2016,709.9,714.47,693.91,695.27,695.27,5121400
18-05-2016,689.56,702.54,688.76,697.45,697.45,4283200
19-05-2016,691.88,699.4,689.56,698.52,698.52,3025600
20-05-2016,701.05,707.24,700,702.8,702.8,2916200
23-05-2016,704.25,706,696.42,696.75,696.75,2595100
24-05-2016,698.01,707.5,698,704.2,704.2,3033800
25-05-2016,708,710.86,705.52,708.35,708.35,3267700
26-05-2016,708.33,715,707.29,714.91,714.91,2446700
